text,label
lagu bangai mnteng bereh bergek tiru musik rafly,negative
peu ka praek meuran sarok brhana wawasan kah jak praek haba bak procast,negative
alhamdulillah yg tgk pgh btoi nyan bandum nyo tengeh wte ulaasok berkusa dajeu buta siblah yg memimpin,neutral
the best bek sampo kopi lagu gob adun beh lage tetangga tanyo nyan mutah kukalon,positive
awakkah yg carong bak meudawa sabe keudroe,neutral
mamfaat lagu nyoe bereh na makna bgi yg muphom,positive
lagee geusampaikan nyoe meunyo hana talawan panena jiperhatikan le donya citalawan bereh,neutral
krn mualem ngoe probowo ka sengkol pbb hn ibijak aceh,neutral
bereh wabub bak geusosialisasi vaksin ngen kuya ali,positive
nyan tok harapan sang bak kukalon harapan jiteunak le masyarakat aceh,neutral
bereh tat lagu drou neuh bg han bosan teuh wate tadego lagu droneh bg sllu sukses bg amin,positive
amin bemeusampo cita geutanyo merdeka,neutral
pat juet ta pateuh yg na jie pikeu pruet drooo dum petinggi n pejabat ka jeut keu penjahat brsdh buktinya brnauzubillahiminzalik brbrpencuri jeut sagoo rojeuh hingg,negative
baje rakyat dgn baje ureng rayek jioh beda hana meudaleh yg bek jioh beda kehidupan dlm kemakmuran yg tanyo pereuleee teuma disino ka thon brat jioh beda dlm ateuh indonnyo braaaat,neutral
ureng hana sikula jeut kegebunur nyankeh lage nyan hana gadoh,negative
manteng lee bangai awak aceh loen meutuah brsemoga allah geulindung tanyoe mandum,neutral
teuntee geutanyoe jigaseh le gob,positive
ek dipeugah,negative
pieb beu abe aneuk kreh jawa,negative
keren apache,positive
gigeh that aneuk agam ayah bak peuleuh kuliah hahahha,positive
kalet aju,neutral
nyan buetoe tgku wslm,neutral
loeng muda thoen loeng bela aceh,neutral
kamoe rakyat aceh kompak awak pa awak teumereka ngon ulama,neutral
meunyoe meuprang matee rakuat gasien yg plueng awak nyan yg ateuh yg beuot beude watee aman mreumpok fee proyek,positive
astaghfirullah ureung inong aceh k hana male le kajeut inong murah rogoe na jelbab,negative
prang media sagai nyan baikot bak babah sagai pmilu gob sabi jalan,neutral
lege nyan kalet kedeh aceh,negative
pue na payah order juereugen booking bue awai bueh bek abeh,neutral
nyan ban panglima smoga kon panglima tibang,neutral
peng urengkaya diaceh,neutral
hireuen kamoe meueu lagak that,positive
ban saboh gurupoh keuh te ngik,neutral
hana preu preu gugat haseul tan,neutral
komentar meusaboh hana yg jroh arti jih beuna malee gadoh ka peungeut rakyat sabee,neutral
bek pileh rombongan perampok,neutral
meutegom bangai,negative
droeun rencan baroe krek broe rencana ngen haba musoh singeh jikirem pasukan ngen alat kenoe uaceh menjoe droe neuh ureng careng nepesahoe ureng bek bak tiktok insya allah rame manteng yg tembrmenjoe bak tiktok haba bangai,neutral
bandum ka punggo awak kah yg jiet korban rakyat ka punggo na tiktok,neutral
berehhhhhh kreatif hana kopi ata gop,positive
adak meu tari hom nyo jelek pih,negative
pungo pusaka nanggroe padahai pungo jabatan ujong ujong jih mabok peng,negative
hamboh maee pong,neutral
adak jok moto pih hana geulake ulama sit galak bak jok cari muka nak menang,neutral
apakmekkkk lagu aceh paleng le views bak yutub,neutral
ayah amri muka lagei asei khen keu gob asee,negative
bek neu tenak ulama abusyik beh semanoe droeneuh watenyan,neutral
mantap bg,positive
mantappp brooo apacee,positive
abu laot nyan ureung hana pendidikan ureung bangai sigam nyan,negative
eeeh bak pegah haba ek nyo menan prang abeh nanggro plung tinggai tek kamo yg hana meho saho ilet letken taim bek le that pegah haba,neutral
bencong awak pajoh lubo,negative
pede that wkwkwkwkwkwk p,positive
apache mantabh berjaya,positive
meurana tueh hatre hai,neutral
meunyo merdeka pat ta bloe saka,neutral
aamiin allah humma aamiin,neutral
baroe tiktok diciptakan kople ka yg gadoeh moral mkjih mudah that peurusak generasi aceh ratus gnrsi aceh kputoh urat male ngon media nauzubillah pue sbnarjih dibeh beh drojih,neutral
btoi abu chik kalinyo ku teurimong nyan yu yak pap ma ju keudeh paleng rame rakyat aceh sengsara wate konflik,neutral
awak pembunuh aramjadah,negative
bak vidio clip nyoe pakon hana roeh si amad yg meuen bas,neutral
berehh,positive
si yasin seunang ate sabab ka ji tuoh peugeut tempe,positive
deungon seunang hate maulana rahmat,positive
kop relohka aceh,neutral
peureulak geutrimong deungon sambotan jroh that,positive
male aceh aceh laen,neutral
kupu otsus gadoh meudaheeh aceh penyumbang masak sekang pengemis aci perjuangkan,neutral
that gawat ka aceh jino kalage ijawa ureng hana sehat pakek baje brok han menutupi aurat anggap wali,neutral
hanale tgk mandum jajaran ka a hrefhttpjigaji tpjigaji tpa yg han ektakaji watee dame baroe tgk ex ho tgk jak jinoe hanajibi le kapegah habalom,neutral
boh keuh brjino pa ka sajan si pai han geutueng le ulama ka peugah haba meu kalheh keuh,negative
dukung pa mandum bijeuh belanda aneuk bajeung,negative
haba,neutral
man wate muda na tom geujak lam uten geujak meuprang,neutral
nyan syiet kalage peranggai abu lahab ngen abu jahal ban,neutral
pase pih ikot seunang hate,positive
mere that ineng hana troek saho murahan that,negative
apache is the best,positive
ancothaka pengumuman khianat zalem beanco,negative
assalamualaikum bg lon salut keu suara vokalis nya keu grub apache brbrbg seandai nya neu karang lagu saboh bahasa indonesia beu lagak brinsya allah awak drneuh jeut keu artis terkenal lon bg bradak jeut ci neu t,positive
ek boh keuh wate karu i luwa nanggroe kamoe rakyat yg keneng poh sabe le si pai ase,negative
meuwot aju bueh,neutral
oh man bereh hawa ta blo ju bak toko terdekat,positive
tgk pusaka ek puko watee mualem wakil gubernur sampe gas aron jok keu jawa ijih pajoh persen bak jawa pusaka ek puko,negative
mantap mantap kon hana cok cok lagu gop mangat ta dengoe bereh bereh teruskan,positive
apache pjan kjk lom u gliding,neutral
betoi lage tgk armet,neutral
kapesuss pue nyan bangai klo menyo su bude han mereumpeuk jok silop kaplung ma kah,negative
meu jeut neu boh terjemahan bhs indonesia krn awak aceh galak lagu apache oke,neutral
yg na peusijuk hidup negara aceh darussalam berkat tgk chik tanoh abee amin ya allah,neutral
nanggroe aceh kaya meu ie lam blang hana lawet nyoe baja mantong dipeu laku wate bloe dipeugah nyoe dpeugah jh kon lagee yum droe berwenang tolong cok tindakan yg publoe baja,positive
yg penteung jaga haba,neutral
gleeh jroh jroh lanjutkan kawan,positive
gubernur paak,negative
betoi that abu syik,neutral
jak bek ye pe ye gen awak nya dunia nangro bah tepe,neutral
bg fad sigoe ngoen abu ishak lamkawe,neutral
pue praekkk tgku,negative
ek boh watey kamoe muprang hn goe kah bui,negative
nyan minyoe matee buso suum gusak lampuko lee malaikat kapreh kuh,negative
maksud jih peu le i taufiq ka iwoe idayah nyan tulong bi penjelasan bacut,neutral
nyn ureung peu ek bak media nyn lebeh awk nyn yg peu male aceh,neutral
martini nyan penyaket awak cok laba bak pa leuh nyan plung,neutral
damai indah tp janji koen hana selesai,neutral
beni bencong masakini anek buy,negative
bek teunak ulama hai pki ulama nyan getuoh hale harem bit kah keturunan si jahal ngon si lahap hana yak praek bhs lua nangro kah penghuni neraka ka hujat ulama,negative
nyan seureutoeh ponteen bakloen tgk banbandum yg na sajan rakyak aceh,neutral
hai bek peruno aneukmit ngan kah kaplat,negative
aneuk bui,negative
bek kuprak iteek,negative
berangkat laju anek timah ka ipreh ideh beh pajoh ih mandum,neutral
singoh cok piala bak kanto gubernur brbandua hana male brsok caroeng nyo tgk aceh jmeun jino,neutral
bereh bereh semoga sukses sabee,positive
muallim kajeun asee prabowo butoi bijeeh panglima tibang,negative
cakra donya keu tanda saboh peursahbatan nyang jroh,positive
panceng sabe lage arahkan le majikan jih,neutral
pajoh pajoh pajoh pajoh pajoh pajoh pajoh pajoh pajoh pajoh,neutral
lomba jeut keu lamiet jawaaa,negative
kamo kon group jak indonesia nyan jameunkon paleh hana peureule le jak debat,neutral
bangai si mak dawood jeut boh zakeut,negative
mantap nyo baro lagu aceh hana peulheh haba bangai,positive
oek hanameuphoem sejarah,neutral
menyo lage nyo band aceh ku respect bek lage awak ret deh alay megampong gadoh pakek beat gob,positive
banda aceh mendukung ghechik tgk zakaria hina ulama menghina ghechik,positive
hansep gaji ta jak meu prang lom,positive
bereh tat bg,positive
bendera bulen bintang pajan ek preh kiamat donya,negative
nepah haba bek tepeh perasaan ureung laen bek pegah boh boh maa inan bak tiktok pue mantong nepegah kamoe pd yg kuat,neutral
loun jinoe i malaya poet boh sawet brka ramee lom awak aceh inoe imalaya,neutral
bngai nanggroe pajan tapeubloe loem,negative
raja trenggono galak that keu,positive
alhamdulilah beubitoi neupegah ygmulia,neutral
watee prang neu plueng u sweden u denmark kamoe yg theun tapak sipatu digampong ka seep tengku han meupateh lee,positive
iwandi nyan pengkhianat wali ase jawa,negative
saksi dreu geukirem seururuh kabupaten aceh hana beuheu meusidreu,neutral
raja nyan pih that leupah seunang geurasa,positive
awoknyo gabuk keu partai ulama meninggai pu bertanda,neutral
nyan model tim ses,neutral
muallem sosok tokoh politik lokal aceh smoga kepemimpinannya berhasil aceh emas maju ekonomi meningkat perhatian bantuan anak korban konflik anak tokoh pejuang,positive
bereh abua kei saleum beuh,positive
bereh that bang fad,positive
aceh nyo milik kah aceh milik rakyat nya,neutral
nyan syit lonte jih hana malee,negative
ne ba keunan kdeh abu syit,neutral
bahasa achehnya bagus tp tanyoe hana le meungeon,neutral
meutuah tat,positive
pajan ijak,neutral
laen tanyoeng laen jaweb,neutral
emng kenyataan meunan abg,neutral
fadlon nyan halee darah nyan jih sang awak cok suaka politik pegah haba kon lee prang aceh tan na jih hati jih nyan sang mata zionis nyan baye jih,negative
menye masyarakat han ek tapeuepuas geuchik imam karna geuchik ken alat pemuas,neutral
syeky sang ka tubai dompet,neutral
meuramah tompul lom thoun ukeu hana peu ta harap that,neutral
golom merdeka ka pake bryg le city brak,neutral
presiden haek talingele haba peumekap ureng,negative
inong aceh hanale iman cocok that ngon agam lundaneun matang glp,neutral
berehthat ureng aceh gadoh medawa sabe pajan makmunangro,neutral
bak lampoh nyan le that teunaman,positive
ka beut hy bngai lheuh ka neuk merdeka putra na rencana kneuk pgot aceh agama nyo,negative
politik bangsa bangai mualem inteljen ri komplit nyo meunang mualem hasee aceh abeeeh jok keu jawa lagee gas aron mualem yg teken,negative
gubernur pane respon rakan jih kajet pangtibang nyan,neutral
cut bul hawa kukocok boh,negative
abu chik ngen abu laot penyaket nanggroe aceh mandua,negative
mantong kah aulia nyo aulia jeh,neutral
seunang ngon gumira that ka,positive
lake lirik lagu jih jeut,positive
ubee raya ku jok jempoooolllllllllbrbereh apache,positive
that geupap gebernur,negative
lemoh aneuk muda bereh that lagu,positive
gadoh ka meukap,neutral
yg bek panik,neutral
soe gata jeut ban galak jak protes buet goep soe gata jeut ban galak jak peuyeh buet goep nyoe terusik tinggai aceh bumue nyue luah jak loem beu awai beuh,neutral
hambo,neutral
bereh wabup pidie neu kunjungi sit channel lon,positive
kajak pap ma keuh hai pki,negative
mandua si gam bangai nyan bek bi panggong,negative
ciptakan hp tuk dipeupake ureung,neutral
smoga aceh hana keneng peunget le kaseb selamanyo keneng peunget bangkit bangsa aceh menyak makmu bangsa aceh,positive
pukaprak manah apbd yg kebahas pu yg kaguna pu kakoprupsi kelompok pa keh,negative
neemeeduk le tgk degan ulama,neutral
ulee sagoe pue ngen ulerbooh,negative
ableh komandan piranha peu beutoi aneuk buah droe neuh nyoe,neutral
loen galak keugatagata galak keu goepgoep nyan galak keu goep lom,neutral
faktor jih bangsa aceh ka bangai hana mephom jih keuneng peunget neutem jipeunget faktorjih galak jiperintah sabe pemimpin awk l neuh lamit,negative
sep pah neuh,neutral
wen loen mak,neutral
ekpukoe,negative
ayah sehat sabee,positive
yg belo beu de rakyat aceh,neutral
ureng aceh banga dengeon dron ngon,positive
zakaria jeut keu ureung peunteng,positive
haiii drona dum bek pe ancu akidah islam ajceh moyang kamo teuku syah bandar usman sigli sepoh haiii,neutral
mantap aneuk aceh kreatif,positive
mantap apache sukses beuh,positive
perte pang tibang awak perte ase,negative
butoi kak leng setuju,neutral
bek gentar tgk saykhy yg menbntah nyn ureng hana mupom lomdan yg membantah nyan ureng yg hna senang ngon perjuangan lage imran nyan jh nyn na kepentingan bak penguasa aceh makajih lage nyn,positive
haibui paleh bek kateunak ulama lampama keuh,negative
away cut nyan tenak ubena ureung acheh,neutral
bek panyang that hai tgk lembeng abeh wate mantong,neutral
hana pu kajak ok ok,negative
peu prak tip uroe kaca mata sabe,neutral
bereh that bp wabup,positive
nyan pue butoi krek,neutral
meuah berayeuk that adun muhklis dron hana neturi soe jih jih ureng kaya indatu ken bek nepike ureng gasin saboh aceh rayeuk ek bloe le jih kon ngen peng rakyat peng droe jih jamen cit kaya,positive
partai partai bui mesaboh than betoi boss,negative
bangai paleh nyan bak ma keu kalake peng lom wate kabloe uke,negative
boh nenen mantap,negative
asai ka hana ekonomi ka pe daleh pemerintah anek droteh han ek tajaga malam ngen gem i e ma me ok bak hp mlm,negative
neupeumeah aneuk droeneuh nyoe mangat jroh gobnyan geuwoe aneuek,positive
that lagunyo,positive
bereh kanda,positive
mualem bemenang,neutral
leumak mabok lagu,positive
meyoe prang model bungkoh bajei plung ulua peu prang prang bajei geutik prik bajei gutang,neutral
hana pat pegah haba,neutral
ok ka bereh,positive
hehehehehehe muzalem bagun pabrik rokok,neutral
muzakir ken pemimpin aceh peuphampho aceh aceh wajeb merdeka,neutral
hana le atjeh lon sayang,neutral
haram jadah paleeh,negative
mantap bro lanjutkan,positive
hoka urueng carong aceh pue han eek gupusulusoe aceh ngen akal sehat bek ngen kekerasan munyoe ngen kekerasan anek mit jet jih,neutral
konser keuno sigo u perlak,neutral
nyan perangkat gampong beumufom meufom kedro ju beh,neutral
hai tayu peselesai aceh but guburnur aceh lage ta ikat kaleng bak boh ase,neutral
pike mangat muprang kiban pemimpin pegah haba hana bijak sagai,positive
kon kabet bendera merah putih mntg kon dum hb wali mntg tandi dengo peupeugah wali peugah nyo jeh,neutral
yg peugah bui deunge bui,negative
atjeh milik bangsa hana ueresan jawa munafik,negative
lagu lage ek soe galak,negative
bagilong setuju pendapat tgk aceh selatan lg ibatan hakuri imran pase sujih rame ureng ino kureng galajih,neutral
kop brat meramah,neutral
bandum ureueng horeumat seureuta galak keu gobnyan,positive
lirik lagunya bro sukses trus bro,positive
wahaisyedaralon tapgod rayadele brotapeugednangro,neutral
sadar ngen hana sadar makajih malei gadeh,neutral
lon bangga jeut keu awak aceh,positive
aceh yg beutoi bela aceh aceh yg hana beutoi aceh poh aceh nyanban,neutral
hahaha leumoh aneuk muda,neutral
wo laju bek pegah,neutral
bek that luhu entrek patah,neutral
hahhha bereh apache geu kheun le dosen nyoe cok buku baca,positive
syeki proprokator,negative
lon tinggal aceh belas ton hana pejabat yg ureng gam perjuangkan rakyat aceh droneh mandum sibuk cari peng kurbankan rakyat korupsi dll,positive
lagu sagai nyan menye but sohay mandum penyakit bangsa aceh nyan,neutral
haba bangai,negative
horeumat that komdian maulana rahmatullah,positive
mantap apache semoga beu jaya,positive
nyo let lon sidro nyo hna pat lon duk pih jet,neutral
muprang ngen pu teungkungen bude tringbrneujak droneuh beu awaii,positive
bit mantap lagu nyoe meu jiwa agam ju kdeh,positive
bek syeh syoh,neutral
video gop nyan ipaso su sagai,neutral
mangat that that mangat,positive
cut bul nyan kadang odgj tanyoe tan tatupue hai bangsa lon ureng odgj hana taklom hukum ho ka kluarga tulong jak peu ubat siat nyan perkataan ureng aceh le that ka beh allah maha mendengar,neutral
pue maksud quotnyo na palang bk masjidquot,neutral
nyoe baroe bereh brbek ta dinge lagu lawet nyobrdikit dikit dikit brkopi ata kop,positive
bek dawa hai rakan cok sulusi jino kbn yg goet mslh aceh beuselesoe bemesapat ureng droneuh mandum,positive
hamboo tgk,neutral
meunasah na siet ie bu oen kayee lagei bandrek mantrap,positive
sesal nyo sesal jeah sang kamulai pesapat upeti hana lagea belanda cit si uma,neutral
teuga that coem geuntoet si malek jih meusilik hana jeulah geunareh indatu koen meuneumat tp geunareh indatu pakek keu alat umpeun takue droe kajak loem beu awai ban saboeh geureupoeh,negative
loen galak lagu nya,positive
syekhy aba sigoe sapeu,neutral
so pegah umu pih menyo na peng sidara thon meereumpek,neutral
wate geu nasehat leu abu paya pasi kadang han ji pateh peu han geu mundur tema nyan peugah teuk ulama hana dukung pa yg na deuh salah ulaama sabe e hay,positive
channel adu domba rakyat aceh,neutral
yg meprang so yg mangat so bek dongeng sabe hai wali,neutral
bg iklan kaleuh kunonton pat love keulon,neutral
nyeu bg gemejaji getem leou jet keteroris dpr,neutral
siethon sigoe nyanpih cm siat diek berkibar nyan pih meusom quot,neutral
pee kapegah anek manyak bangai,negative
keuteurunan si chistiaan snouck hurgronje ka peugah wali agama,negative
kbn bhs urg islam,neutral
gop nyan galak keu gop lom,neutral
hai bangai bekle katipe bangsa aceh,negative
lee that kacang panah dum awak kah bk media teuga that kameulih bak punggong jawa dum woe lage awai lom aju bek le that pu peugah,negative
kiban iyuejak urg tuha ile ken kesalhan ngen kanun gampong tp kalhan bak salah tutoe media log bebas bileh datangi nye hana kateuoh pegah haba katren dr lev nyan keudeh,neutral
careong cit bak peu brouk ulama sang sang bak peugah haba cit kah sagai yg pejuang but ek keu umpeun baroe sineuk su beude ka pluung,positive
peu urusan ka aparat laknatillah,negative
peugeut neuh dum nyan brmandum hanjeut tapileh,neutral
semoga keluarga sakinah mawadah warahmah salem italia bangsa aceh lon sayang,positive
sheki pengkhianat bangsa aceh bek na le bak yutub sheki ular kepala,negative
mantap that,positive
bereh that lagu nyo mantap moga berhasil,positive
eek boh pu kapeugah maa keuh wate prang kaplung u luwa,negative
abdul aziz syah geudidek ngon eleumee teunupeue,positive
cutbul kaputuh urat male,negative
meu nyo bek jiteunak ngon jifitah teu biet lam partai dn bek na lam pemerintahan jak duek bak nudeuk droe nameu phom peu timang dayah mantong bek jak mita razeki bak partai,neutral
ban ka prang plueng uluwa alah hai ap,neutral
bereh nyan syahra lanjot aju beu meucuhu ulua nanggro,positive
aceh yg mulia aceh kaya,positive
menyoe lagu kopy pah tp kureung puas lage sayur garam menyoe nyoe sang kapah ka lengkap he sukses udara,neutral
pajan neujak u rumoh neupakat loen meukawen kode bang kode,neutral
pat peng ma keuh aneuk bui awak aceh tukang tipu no aceh haram jadah,negative
hai gam bek lee that kpgah hba dueh that bngai kaah,negative
beu meuhase lage ban hajat,positive
bah dijak keudro meuprang keudeh yah lon kon gam gara awak gam dicok le awak tentara jino hana meupat kuburan peu yg meu untong lucu,neutral
abu syik alias abu lagab pengikot nya,neutral
ekboh kah kalieh leubo jawa kah gam peng aneuk syuhada kaleuh ka pajoh mualem ka sajan jawa lagee kah,negative
ka pungoe kah rimba paaee,negative
hanek ta kaleon that brat ka awak aceh cut bul nyan ka putoh urat malee malee cutcut yg laen alah hai laak,neutral
lon pih kalheuh kuliah,neutral
that pah meningkatkan kemiskinan,neutral
prang diplomatik,neutral
tiep uroe ribu senjata,neutral
teugoh mangat ta dengoe khang khieng su lagoe abangda seb bereh nyoe jiet motivasi banmandun kalangan politisi ukeu politisi beu na wawasan bek pike aceh tok hrus pike kiban kuasai jakarta induk kota,positive
hana peuneutoh bak taeet aumpah,neutral
bek sampe jok keu pancuri blah deh laot warga bireun bek bangai nyan beucaoron,neutral
tungku imran neipeireuno laju ngak carong,neutral
jeulas semangat aceh merdeka,neutral
ka thon mantong sit bereh,positive
bui mndum pebetoi droe,negative
menhacur perjuaga aceh merdeka,neutral
kon mandum nyan brcuma si imran sagai ie mita viral brlaen hana but ie jih,negative
nyoe baro lagu aneuk muda brlanjutkan apache brbaru sigoe long deungo lagu nyo lnsong ngefans brizin share k facebook ya bg,positive
kajeut tamong bak billboard sang nyoe geuthat bereh v,positive
kon atjeh arab turky japan eropa hindia,neutral
alhamdulillah pidie haba jroh buet jroh,positive
ass hai rakan long bundum yg long kalon slawet nyoe yg ikot mualem nyan ek mualem yurah ek rah beu keh jih penooh beu rakan tupeu bandum,neutral
bereh that ras taufik,positive
hanco aceh kaliyaeh hanale pemerdeka aceh,neutral
ek boh mandum,negative
yg butoi sit be konflik lom baro tarsa lom kiban,negative
kajak letma keuh syeki bui pengkhianat kah,negative
ya allah ya rabbi beu merdeka naggroe aceh seramoe mekkah amiin,positive
cut cut bik pki nyan meu nyo ta tanyong jih meu nyo han peu gah abisik nyan handi bi capok nyan capok kaluhe lage puko bui,negative
dikota mantong tan soe tem pauli lagei dikeu mnasah payong beureunuen peulom lam blang,neutral
deungon pulo jawa pih ka meutamah maju lom,positive
pu gaya nyan d,neutral
aceh cinta aceh nkri karna nkri mualem malek penget aceh janji palsu aceh gasin,negative
ciri warna aceh nan gob mandum ditusoe yg bek nan droe,neutral
brat aju lumoh aneuk muda,neutral
perjuangan bek kendo syara geupeugah lahe kerajaan ubet lom lage asai nyan hnpeu peusee,positive
pgah mama kduh inan,neutral
mantap that lagu jih,positive
makah asei keplung cuwak,negative
pidato dgn bahasa aceh manteng lebeh lancar,positive
o soe roh si kifli lagoe awak kah ek iepegeut but ureng boco nyan kon bede atom imat ijih sabe pungo ngon bude atom,neutral
nyan bereh che,positive
betoi abucik pa ekboh,negative
gadoh haba cet langet,negative
mangat tadeungeo tgk musana peugah haba keon lage fat lon peugah haba,neutral
yo ateuh keluarga golom mate jih ku mita,negative
garang hoka puka garing,neutral
bodoh jeeeb hai cutkak goblok blooon bek beeh enterk watee dilep awah rohinyya tekejet drooneh nontou youtob nangro malaisiabfi lake awsk malaisia yg po nangro awak nya tenak menyo galak lagee nyan silahkan,negative
nyan sigam robet nyan kayue jalet bui nyan bak bui peugah haba nyan peu pembela inoung nyan,negative
awak gmpong yn geuchik ih iperkusi lei cut bul masak hna reaksi sapu,neutral
kiban tameuprang beudee kabeh takoh,neutral
lg ku khem mantong jeut kon,neutral
bereh aduen,positive
uroe nyo piral singoh ka dirob anek muda tanggong,neutral
sang mualem leubeh pah ngen bahasa droteuh laju gepugah haba menye ngen bahasa indoneh hana tutupue pue gepeugah,positive
bereh tengku bek tuo semayang,positive
droneuh eh eh yg muprang rakyat alah hai sajet,negative
partai hana meu nyangkot keu nanggroe rekayasa peugah partai lokal nkri chit hana meu nyangkot perjuangan,neutral
nyan h uma benekturi hana didengo gelet nyenparang le aji uma,neutral
pajoh ek soe yg pileh mualem,negative
nyoe baroe lagu aneuk aceh,positive
mannntaaapp bro,positive
hideh ureueng nyan get that,positive
bereh that kreasi sendri sbgai jati plagiat memuakkan lanjot apache bravo,positive
bravo tgk syekhi jelass that nyan,neutral
carong bak meungui seunjata,positive
dawa nyan saboh solusi tpi tindakan yg bangsa aceh peu yg goh lom seleuso ta peu seleuso,positive
hana pat lawan v,positive
ek boh ban saboh boh,negative
banda peurdagangan asia tunggara maju,positive
jih darwin sit pengkhiyanad,negative
lagu lagak succes for apache,positive
ureng getanya islam hana tupu rahasia alguran,positive
meusaneut bereh awak bambi,positive
kahi lamit jawa nyan payah mita jawa pengemis berdasi,negative
pakon han kajak lam lam trieng kedeh aneuk keuh ilontonhayeu ayah long muprang bak tiktok,neutral
pue ipeugah sinoeng nyan britupat banda aceh pih krn pa ijieh biet lumoe peuteugoeh lam moen,negative
bereh laju na han bosan teuh,positive
emmm taeut sumpah,neutral
generasi ka reuloh aju gara ta ikot sistem indon mnyoe ta ikot sistem hukum aceh lge jameun hna reuloh generasi aceh ho ka menteri agama aceh pkon singap,negative
hahahaha semoga sukses sabe bg apache beh mauantap nyan lagu droneuh aduen mutuah,positive
apace bereh,positive
betoi abu syik penyaket nyo sit awak nyan,neutral
kah bui kahina ulama kapapma deh pike nyan yah kah,negative
sultan aceh geutrimong meukeusud jroh,positive
ek boh wali,negative
beerrrreh sekalibagus,positive
bek meudawa sabe keu droe meudawa ngon musuh nyo sabe keu droe malee teuh ngon gob,positive
assalamualaikum hai awak nanggroe lebeah geut tameusoho bak pa,neutral
mantap teung ku zakara,positive
hahahahahah bereh that maju,positive
peu peugah rad nyan puko ma jih syehkinyan presiden saket jiwa alias pungo,negative
merdeka lam tong ek jawa,negative
peu kqpeugqh gam banget,negative
that pah neuh nemedawa le pah le salam pendatang beh fir,neutral
che mantap,positive
boeh pue peugah nyo peugajeh menyan hana meudup politik saboeh puloet,neutral
kompor mndum alah hai lempap,negative
haii aneuk bangai neuk neuk kajak relouh aceh aceh kon ata partai aceh mileuk rakyat aceh hai bangai,negative
armet jeulaeeh pendapat malek eem drauw bak mou,neutral
eek bui saboh geureupoh meusenoh jeut keu lamiet jawa,negative
mubut laju pa kpa sang sang malaikat,neutral
nelaknat ya allah,neutral
semangat bg lemoh anak muda salam aceh gayo perantaw a hrefhttpmalasiya bgmalasiya bga salam tki acehh,positive
hayeuu,positive
